wav_path,filename,gt_ko,gt_en,reciter_id,duration,text,pred_en,pred_ko,confidence,correct
Sample/01.원천데이터/A-A2-A-009-0101.wav,A-A2-A-009-0101.wav,분노,angry,9,5.300048828125,"지금 싸움을 외면하라는 겁니까, 동료들의 죽음에서 눈을 돌리라는 말씀이냐고요?",angry,분노,0.9445423483848572,True
Sample/01.원천데이터/A-A2-A-009-0102.wav,A-A2-A-009-0102.wav,분노,angry,9,5.0,"이유를 설명해 주십시오, 이유를 알아야 움직이든 그냥 있든 제가 판단하죠.",angry,분노,0.9979432821273804,True
Sample/01.원천데이터/A-A2-A-009-0103.wav,A-A2-A-009-0103.wav,분노,angry,9,4.820068359375,"우린 무조건 반장님의 지시에만 따른다, 알았으면 무조건 복종해!",angry,분노,0.9946791529655457,True
Sample/01.원천데이터/A-A2-A-009-0104.wav,A-A2-A-009-0104.wav,분노,angry,9,3.9400634765625,우리가 반장님과 대장님에게 신뢰를 못 얻고 있다고 말하고 싶은 거야?,angry,분노,0.8732222318649292,True
Sample/01.원천데이터/A-A2-A-009-0105.wav,A-A2-A-009-0105.wav,분노,angry,9,4.93994140625,"젠장, 감히, 어디 덤벼 봐, 너 죽고 나 죽자!",angry,분노,0.944954514503479,True
Sample/01.원천데이터/A-A2-A-009-0106.wav,A-A2-A-009-0106.wav,분노,angry,9,4.0,"대단하긴 뭘 대단해, 그냥 네 녀석의 펀치가 약한 거뿐이야.",angry,분노,0.9783956408500671,True
Sample/01.원천데이터/A-A2-A-009-0107.wav,A-A2-A-009-0107.wav,분노,angry,9,6.239990234375,"히어로 히어로 해서 대단한 줄 알았더니, 씨급이나 에스급이나 까놓고 보면 다 별거 아니구만.",angry,분노,0.9754819869995117,True
Sample/01.원천데이터/A-A2-A-009-0108.wav,A-A2-A-009-0108.wav,분노,angry,9,6.7000732421875,"구해주는 거뿐이라면 누구든 할 수 있잖아, 역시 괴물들을 쓰러뜨리지 않으면 히어로라 할 수 없지.",angry,분노,0.9923100471496582,True
Sample/01.원천데이터/A-A2-A-009-0109.wav,A-A2-A-009-0109.wav,분노,angry,9,7.2999267578125,"근데 이번에 히어로들 중에도 중상자가 잔뜩 나왔잖아, 그런 인간들을 믿어도 되는 건가 의심스러워.",angry,분노,0.9896557927131653,True
Sample/01.원천데이터/A-A2-A-009-0110.wav,A-A2-A-009-0110.wav,분노,angry,9,14.1400146484375,뭐 결과적으로 살아서 상관없지만 일반인들과 다르지 않은 약한 히어로라면 와 봤자 도움도 안 되는데 히어로 좀 관둬 주면 안 되나?,angry,분노,0.9379652142524719,True
Sample/01.원천데이터/A-A2-A-009-0111.wav,A-A2-A-009-0111.wav,분노,angry,9,8.8800048828125,"왜, 왜 내가 혼나야 해, 히어로 협회의 활동 자금은 우리 세금에서 나간다며, 그럼 참견 좀 해도 되지 않아?",angry,분노,0.8979752659797668,True
Sample/01.원천데이터/A-A2-A-009-0112.wav,A-A2-A-009-0112.wav,분노,angry,9,5.9200439453125,"우리가 내는 세금으로 히어로들이 월급 받고 있는데, 제대로 지켜 주지 않으면 이쪽도 곤란하다고!",angry,분노,0.9789288640022278,True
Sample/01.원천데이터/A-A2-A-009-0113.wav,A-A2-A-009-0113.wav,분노,angry,9,5.43994140625,"너 에스급이랑 친해지고 싶어 일부러 따라온 거지, 히어로가 존심도 없나.",angry,분노,0.9858314990997314,True
Sample/01.원천데이터/A-A2-A-009-0114.wav,A-A2-A-009-0114.wav,분노,angry,9,5.0599365234375,"좋은 아침이야 난 늦잠 자는 꼴은 절대 못 봐, 다들 빨리 안 일어날래?",angry,분노,0.9649549126625061,True
Sample/01.원천데이터/A-A2-A-009-0115.wav,A-A2-A-009-0115.wav,분노,angry,9,5.1400146484375,"도와주려면 제대로 좀 도와, 그 삐뚤어진 심보로 일 더 복잡하게 만들지 말고.",angry,분노,0.983951210975647,True
Sample/01.원천데이터/A-A2-A-009-0116.wav,A-A2-A-009-0116.wav,분노,angry,9,4.3798828125,"이 학교에서 최악은 너희들의 성격 같은데, 안 그래, 어?",angry,분노,0.5185731649398804,True
Sample/01.원천데이터/A-A2-A-009-0117.wav,A-A2-A-009-0117.wav,분노,angry,9,5.97998046875,"뭣이라, 이 자식들, 내가 모처럼 의견을 냈는데 받아들이지는 못할망정 거절해?",angry,분노,0.9917798042297363,True
Sample/01.원천데이터/A-A2-A-009-0118.wav,A-A2-A-009-0118.wav,분노,angry,9,5.3199462890625,"도대체 왜 저 녀석들의 의견엔 반대 없이 모두 따르는 건데, 왜 나랑 차별해, 어?",angry,분노,0.9865705966949463,True
Sample/01.원천데이터/A-A2-A-009-0119.wav,A-A2-A-009-0119.wav,분노,angry,9,6.260009765625,"나 한 사람 없다고 뭐가 어떤데, 어차피 나 말고 그 녀석만 있으면 학급은 잘 굴러가는 거 아냐?",angry,분노,0.9903696179389954,True
Sample/01.원천데이터/A-A2-A-009-0120.wav,A-A2-A-009-0120.wav,분노,angry,9,7.47998046875,"지금 내 이름 불렀냐, 내 이름이 아무나 부르라고 우리 부모님이 지어준 건 아닐 텐데, 다시 한번 불러 봐.",angry,분노,0.9709477424621582,True
Sample/01.원천데이터/A-A2-A-009-0121.wav,A-A2-A-009-0121.wav,분노,angry,9,4.5,"너희들 멋대로 사진 찍지 마, 찍히는 당사자가 싫어하는 거 안 보여?",angry,분노,0.901942253112793,True
Sample/01.원천데이터/A-A2-A-009-0122.wav,A-A2-A-009-0122.wav,분노,angry,9,4.4000244140625,"이 골칫덩어리 꼬맹이, 너가 학교에 와서 무슨 짓을 벌였는지 알아?",angry,분노,0.9843513369560242,True
Sample/01.원천데이터/A-A2-A-009-0123.wav,A-A2-A-009-0123.wav,분노,angry,9,10.0799560546875,"도대체 무얼 위해 그렇게 필사적으로 하는 거지, 그런다고 사람들이 고마워할 줄 알아?",angry,분노,0.9774740934371948,True
Sample/01.원천데이터/A-A2-A-009-0124.wav,A-A2-A-009-0124.wav,분노,angry,9,5.4599609375,아무리 멋진 소릴 하고 열심히 노력해도 정말로 강한 녀석들한텐 다 당하고 만단 말이야!,angry,분노,0.9520691633224487,True
Sample/01.원천데이터/A-A2-A-009-0125.wav,A-A2-A-009-0125.wav,분노,angry,9,4.679931640625,"숙녀 앞에서 이게 무슨 짓이야, 소변을 보려면 저 숲 속으로 가란 말이야!",angry,분노,0.9840476512908936,True
Sample/01.원천데이터/A-A2-A-009-0126.wav,A-A2-A-009-0126.wav,분노,angry,9,5.9599609375,"젠장, 여길 도망칠 수밖에 없어, 그렇지 않으면 우릴 기다리는 건 죽음뿐이니까.",angry,분노,0.9972458481788635,True
